Date,Personality,Indiv.ID,Weight (g),Run,Resp,Diff.Resp
23-Jul,Bold,Benchtop_1,0.146,Alone,17.33340858,2.91686054
23-Jul,Bold,Benchtop_1,0.146,Pisaurina,14.41654804,NA
23-Jul,Bold,Benchtop_2,0.087,Alone,17.94589744,0.06246425
23-Jul,Bold,Benchtop_2,0.087,Pisaurina,17.88343319,NA
23-Jul,Bold,Benchtop_3,0.114,Alone,15.78216938,1.55226276
23-Jul,Bold,Benchtop_3,0.114,Pisaurina,14.22990662,NA
23-Jul,Bold,Benchtop_4,0.052,Alone,17.61115436,3.79926318
23-Jul,Bold,Benchtop_4,0.052,Pisaurina,13.81189118,NA
23-Jul,Bold,Benchtop_7,0.075,Alone,15.9012302,3.69071163
23-Jul,Bold,Benchtop_7,0.075,Pisaurina,12.21051857,NA
23-Jul,Bold,Benchtop_8,0.05,Alone,13.79943303,0.66606086
23-Jul,Bold,Benchtop_8,0.05,Pisaurina,13.13337217,NA
23-Jul,Bold,Benchtop_9,0.089,Alone,15.56226284,4.77270898
23-Jul,Bold,Benchtop_9,0.089,Pisaurina,10.78955386,NA
23-Jul,Bold,Benchtop_10,0.121,Alone,15.92437147,0.29007674
23-Jul,Bold,Benchtop_10,0.121,Pisaurina,15.63429473,NA
23-Jul,Bold,Benchtop_11,0.13,Alone,17.84792517,4.45294573
23-Jul,Bold,Benchtop_11,0.13,Pisaurina,13.39497944,NA
23-Jul,Bold,Benchtop_12,0.064,Alone,18.04999381,0.56346365
23-Jul,Bold,Benchtop_12,0.064,Pisaurina,17.48653016,NA
23-Jul,Bold,Benchtop_13,0.152,Alone,17.69543807,4.20016901
23-Jul,Bold,Benchtop_13,0.152,Pisaurina,13.49526906,NA
23-Jul,Bold,Benchtop_14,0.139,Alone,18.45466804,0.67567004
23-Jul,Bold,Benchtop_14,0.139,Pisaurina,17.778998,NA
23-Jul,Bold,Benchtop_15,0.155,Alone,18.74143428,5.30915158
23-Jul,Bold,Benchtop_15,0.155,Pisaurina,13.4322827,NA
23-Jul,Bold,Benchtop_16,0.156,Alone,18.0817408,2.12223351
23-Jul,Bold,Benchtop_16,0.156,Pisaurina,15.95950729,NA
23-Jul,Bold,Benchtop_17,0.133,Alone,16.7752993,5.07647306
23-Jul,Bold,Benchtop_17,0.133,Pisaurina,11.69882624,NA
23-Jul,Bold,Benchtop_18,0.08,Alone,18.10165345,3.12911478
23-Jul,Bold,Benchtop_18,0.08,Pisaurina,14.97253867,NA
23-Jul,Bold,Benchtop_19,0.133,Alone,18.56232065,-3.67537866
23-Jul,Bold,Benchtop_19,0.08,Pisaurina,22.23769931,NA
23-Jul,Shy,Benchtop_21,0.087,Alone,17.485966,1.12296787
23-Jul,Shy,Benchtop_21,0.087,Pisaurina,16.36299813,NA
23-Jul,Shy,Benchtop_22,0.107,Alone,9.837828273,3.094345447
23-Jul,Shy,Benchtop_22,0.107,Pisaurina,6.743482826,NA
23-Jul,Shy,Benchtop_24,0.072,Alone,18.69431013,5.03292292
23-Jul,Shy,Benchtop_24,0.072,Pisaurina,13.66138721,NA
23-Jul,Shy,Benchtop_26,0.078,Alone,17.2385281,2.59015787
23-Jul,Shy,Benchtop_26,0.078,Pisaurina,14.64837023,NA
23-Jul,Shy,Benchtop_27,0.127,Alone,16.71605916,0.23730923
23-Jul,Shy,Benchtop_27,0.127,Pisaurina,16.47874993,NA
23-Jul,Shy,Benchtop_31,0.138,Alone,14.26356792,1.55883171
23-Jul,Shy,Benchtop_31,0.138,Pisaurina,12.70473621,NA
23-Jul,Shy,Benchtop_32,0.143,Alone,14.28727601,1.91521456
23-Jul,Shy,Benchtop_32,0.143,Pisaurina,12.37206145,NA
23-Jul,Shy,Benchtop_33,0.211,Alone,16.71638678,2.22699799
23-Jul,Shy,Benchtop_33,0.211,Pisaurina,14.48938879,NA
23-Jul,Shy,Benchtop_34,0.108,Alone,15.15886931,3.104127
23-Jul,Shy,Benchtop_34,0.108,Pisaurina,12.05474231,NA
23-Jul,Shy,Benchtop_35,0.144,Alone,16.90647401,2.44813358
23-Jul,Shy,Benchtop_35,0.144,Pisaurina,14.45834043,NA
23-Jul,Shy,Benchtop_36,0.111,Alone,18.30485121,2.15128264
23-Jul,Shy,Benchtop_36,0.111,Pisaurina,16.15356857,NA
23-Jul,Shy,Benchtop_37,0.157,Alone,15.87858531,4.87489484
23-Jul,Shy,Benchtop_37,0.157,Pisaurina,11.00369047,NA
23-Jul,Shy,Benchtop_38,0.101,Alone,18.02091334,3.52716198
23-Jul,Shy,Benchtop_38,0.101,Pisaurina,14.49375136,NA
23-Jul,Shy,Benchtop_39,0.142,Alone,16.5504428,-0.23280659
23-Jul,Shy,Benchtop_39,0.142,Pisaurina,16.78324939,NA
23-Jul,Shy,Benchtop_40,0.047,Alone,14.32308822,4.09138937
23-Jul,Shy,Benchtop_40,0.047,Pisaurina,10.23169885,NA