Indiv.ID,Survey_Round,Assay_Round,Assay_Type,Activity
BS_1,1,1,Foraging,0
BS_1,1,2,Foraging,0
BS_1,1,3,Foraging,0
BS_1,1,1,Novel,2
BS_1,1,2,Novel,0
BS_1,1,3,Novel,0
BS_1,1,1,Predator,0
BS_1,1,2,Predator,0
BS_1,1,3,Predator,0
BS_1,2,1,Foraging,2
BS_1,2,2,Foraging,2
BS_1,2,3,Foraging,0
BS_1,2,1,Novel,0
BS_1,2,2,Novel,0
BS_1,2,3,Novel,0
BS_1,2,1,Predator,0
BS_1,2,2,Predator,0
BS_1,2,3,Predator,0
BS_1,3,1,Foraging,3
BS_1,3,2,Foraging,0
BS_1,3,3,Foraging,2
BS_1,3,1,Novel,0
BS_1,3,2,Novel,1
BS_1,3,3,Novel,0
BS_1,3,1,Predator,1
BS_1,3,2,Predator,0
BS_1,3,3,Predator,0
BS_1,4,1,Foraging,0
BS_1,4,2,Foraging,0
BS_1,4,3,Foraging,0
BS_1,4,1,Novel,0
BS_1,4,2,Novel,0
BS_1,4,3,Novel,0
BS_1,4,1,Predator,7
BS_1,4,2,Predator,0
BS_1,4,3,Predator,0
BS_1,5,1,Foraging,2
BS_1,5,2,Foraging,0
BS_1,5,3,Foraging,0
BS_1,5,1,Novel,0
BS_1,5,2,Novel,0
BS_1,5,3,Novel,0
BS_1,5,1,Predator,6
BS_1,5,2,Predator,1
BS_1,5,3,Predator,0
BS_1,6,1,Foraging,4
BS_1,6,2,Foraging,0
BS_1,6,3,Foraging,0
BS_1,6,1,Novel,6
BS_1,6,2,Novel,13
BS_1,6,3,Novel,9
BS_1,6,1,Predator,2
BS_1,6,2,Predator,0
BS_1,6,3,Predator,0
BS_1,7,1,Foraging,2
BS_1,7,2,Foraging,37
BS_1,7,3,Foraging,4
BS_1,7,1,Novel,1
BS_1,7,2,Novel,0
BS_1,7,3,Novel,0
BS_1,7,1,Predator,5
BS_1,7,2,Predator,0
BS_1,7,3,Predator,0
BS_10,1,1,Foraging,47
BS_10,1,2,Foraging,6
BS_10,1,3,Foraging,17
BS_10,1,1,Novel,18
BS_10,1,2,Novel,21
BS_10,1,3,Novel,5
BS_10,1,1,Predator,1
BS_10,1,2,Predator,0
BS_10,1,3,Predator,0
BS_10,2,1,Foraging,26
BS_10,2,2,Foraging,13
BS_10,2,3,Foraging,0
BS_10,2,1,Novel,0
BS_10,2,2,Novel,0
BS_10,2,3,Novel,0
BS_10,2,1,Predator,0
BS_10,2,2,Predator,0
BS_10,2,3,Predator,2
BS_101,1,1,Foraging,1
BS_101,1,2,Foraging,0
BS_101,1,3,Foraging,8
BS_101,1,1,Novel,23
BS_101,1,2,Novel,19
BS_101,1,3,Novel,24
BS_101,1,1,Predator,10
BS_101,1,2,Predator,18
BS_101,1,3,Predator,25
BS_101,2,1,Foraging,47
BS_101,2,2,Foraging,28
BS_101,2,3,Foraging,14
BS_101,2,1,Novel,2
BS_101,2,2,Novel,0
BS_101,2,3,Novel,0
BS_101,2,1,Predator,14
BS_101,2,2,Predator,19
BS_101,2,3,Predator,0
BS_101,3,1,Foraging,35
BS_101,3,2,Foraging,18
BS_101,3,3,Foraging,27
BS_101,3,1,Novel,38
BS_101,3,2,Novel,30
BS_101,3,3,Novel,22
BS_101,3,1,Predator,26
BS_101,3,2,Predator,18
BS_101,3,3,Predator,10
BS_101,4,1,Foraging,33
BS_101,4,2,Foraging,30
BS_101,4,3,Foraging,16
BS_101,4,1,Novel,17
BS_101,4,2,Novel,14
BS_101,4,3,Novel,3
BS_101,4,1,Predator,17
BS_101,4,2,Predator,24
BS_101,4,3,Predator,30
BS_101,5,1,Foraging,33
BS_101,5,2,Foraging,25
BS_101,5,3,Foraging,22
BS_101,5,1,Novel,6
BS_101,5,2,Novel,0
BS_101,5,3,Novel,2
BS_101,5,1,Predator,4
BS_101,5,2,Predator,8
BS_101,5,3,Predator,0
BS_102,1,1,Foraging,4
BS_102,1,2,Foraging,1
BS_102,1,3,Foraging,11
BS_102,1,1,Novel,0
BS_102,1,2,Novel,0
BS_102,1,3,Novel,0
BS_102,1,1,Predator,5
BS_102,1,2,Predator,11
BS_102,1,3,Predator,6
BS_102,2,1,Foraging,24
BS_102,2,2,Foraging,0
BS_102,2,3,Foraging,0
BS_102,2,1,Novel,33
BS_102,2,2,Novel,12
BS_102,2,3,Novel,28
BS_102,2,1,Predator,20
BS_102,2,2,Predator,19
BS_102,2,3,Predator,22
BS_102,3,1,Foraging,17
BS_102,3,2,Foraging,7
BS_102,3,3,Foraging,0
BS_102,3,1,Novel,27
BS_102,3,2,Novel,5
BS_102,3,3,Novel,2
BS_102,3,1,Predator,19
BS_102,3,2,Predator,27
BS_102,3,3,Predator,30
BS_103,1,1,Foraging,15
BS_103,1,2,Foraging,25
BS_103,1,3,Foraging,18
BS_103,1,1,Novel,26
BS_103,1,2,Novel,29
BS_103,1,3,Novel,18
BS_103,1,1,Predator,22
BS_103,1,2,Predator,26
BS_103,1,3,Predator,10
BS_103,2,1,Foraging,0
BS_103,2,2,Foraging,0
BS_103,2,3,Foraging,0
BS_103,2,1,Novel,0
BS_103,2,2,Novel,0
BS_103,2,3,Novel,0
BS_103,2,1,Predator,0
BS_103,2,2,Predator,0
BS_103,2,3,Predator,0
BS_103,3,1,Foraging,3
BS_103,3,2,Foraging,3
BS_103,3,3,Foraging,3
BS_103,3,1,Novel,9
BS_103,3,2,Novel,0
BS_103,3,3,Novel,0
BS_103,3,1,Predator,3
BS_103,3,2,Predator,4
BS_103,3,3,Predator,0
BS_103,4,1,Foraging,43
BS_103,4,2,Foraging,28
BS_103,4,3,Foraging,31
BS_103,4,1,Novel,33
BS_103,4,2,Novel,28
BS_103,4,3,Novel,26
BS_103,4,1,Predator,41
BS_103,4,2,Predator,57
BS_103,4,3,Predator,19
BS_104,1,1,Foraging,0
BS_104,1,2,Foraging,0
BS_104,1,3,Foraging,0
BS_104,1,1,Novel,0
BS_104,1,2,Novel,0
BS_104,1,3,Novel,0
BS_104,1,1,Predator,0
BS_104,1,2,Predator,0
BS_104,1,3,Predator,0
BS_104,2,1,Foraging,0
BS_104,2,2,Foraging,1
BS_104,2,3,Foraging,4
BS_104,2,1,Novel,1
BS_104,2,2,Novel,0
BS_104,2,3,Novel,0
BS_104,2,1,Predator,0
BS_104,2,2,Predator,0
BS_104,2,3,Predator,0
BS_104,3,1,Foraging,0
BS_104,3,2,Foraging,0
BS_104,3,3,Foraging,0
BS_104,3,1,Novel,0
BS_104,3,2,Novel,0
BS_104,3,3,Novel,0
BS_104,3,1,Predator,0
BS_104,3,2,Predator,0
BS_104,3,3,Predator,0
BS_104,4,1,Foraging,21
BS_104,4,2,Foraging,18
BS_104,4,3,Foraging,16
BS_104,4,1,Novel,16
BS_104,4,2,Novel,31
BS_104,4,3,Novel,13
BS_104,4,1,Predator,25
BS_104,4,2,Predator,9
BS_104,4,3,Predator,22
BS_105,1,1,Foraging,43
BS_105,1,2,Foraging,24
BS_105,1,3,Foraging,27
BS_105,1,1,Novel,26
BS_105,1,2,Novel,32
BS_105,1,3,Novel,20
BS_105,1,1,Predator,47
BS_105,1,2,Predator,20
BS_105,1,3,Predator,40
BS_105,2,1,Foraging,16
BS_105,2,2,Foraging,9
BS_105,2,3,Foraging,8
BS_105,2,1,Novel,21
BS_105,2,2,Novel,22
BS_105,2,3,Novel,12
BS_105,2,1,Predator,22
BS_105,2,2,Predator,4
BS_105,2,3,Predator,1
BS_105,3,1,Foraging,1
BS_105,3,2,Foraging,0
BS_105,3,3,Foraging,0
BS_105,3,1,Novel,6
BS_105,3,2,Novel,10
BS_105,3,3,Novel,22
BS_105,3,1,Predator,0
BS_105,3,2,Predator,0
BS_105,3,3,Predator,7
BS_105,4,1,Foraging,6
BS_105,4,2,Foraging,0
BS_105,4,3,Foraging,0
BS_105,4,1,Novel,21
BS_105,4,2,Novel,11
BS_105,4,3,Novel,0
BS_105,4,1,Predator,0
BS_105,4,2,Predator,33
BS_105,4,3,Predator,18
BS_12,1,1,Foraging,21
BS_12,1,2,Foraging,31
BS_12,1,3,Foraging,38
BS_12,1,1,Novel,17
BS_12,1,2,Novel,27
BS_12,1,3,Novel,17
BS_12,1,1,Predator,3
BS_12,1,2,Predator,0
BS_12,1,3,Predator,21
BS_12,2,1,Foraging,0
BS_12,2,2,Foraging,10
BS_12,2,3,Foraging,11
BS_12,2,1,Novel,9
BS_12,2,2,Novel,11
BS_12,2,3,Novel,10
BS_12,2,1,Predator,24
BS_12,2,2,Predator,13
BS_12,2,3,Predator,9
BS_12,3,1,Foraging,13
BS_12,3,2,Foraging,2
BS_12,3,3,Foraging,12
BS_12,3,1,Novel,10
BS_12,3,2,Novel,12
BS_12,3,3,Novel,4
BS_12,3,1,Predator,8
BS_12,3,2,Predator,12
BS_12,3,3,Predator,8
BS_12,4,1,Foraging,3
BS_12,4,2,Foraging,3
BS_12,4,3,Foraging,10
BS_12,4,1,Novel,15
BS_12,4,2,Novel,4
BS_12,4,3,Novel,0
BS_12,4,1,Predator,28
BS_12,4,2,Predator,20
BS_12,4,3,Predator,5
BS_12,5,1,Foraging,23
BS_12,5,2,Foraging,9
BS_12,5,3,Foraging,0
BS_12,5,1,Novel,0
BS_12,5,2,Novel,0
BS_12,5,3,Novel,0
BS_12,5,1,Predator,0
BS_12,5,2,Predator,0
BS_12,5,3,Predator,0
BS_12,6,1,Foraging,0
BS_12,6,2,Foraging,0
BS_12,6,3,Foraging,16
BS_12,6,1,Novel,46
BS_12,6,2,Novel,25
BS_12,6,3,Novel,34
BS_12,6,1,Predator,30
BS_12,6,2,Predator,33
BS_12,6,3,Predator,34
BS_12,7,1,Foraging,31
BS_12,7,2,Foraging,21
BS_12,7,3,Foraging,9
BS_12,7,1,Novel,15
BS_12,7,2,Novel,0
BS_12,7,3,Novel,0
BS_12,7,1,Predator,0
BS_12,7,2,Predator,8
BS_12,7,3,Predator,24
BS_15,1,1,Foraging,18
BS_15,1,2,Foraging,41
BS_15,1,3,Foraging,12
BS_15,1,1,Novel,0
BS_15,1,2,Novel,26
BS_15,1,3,Novel,28
BS_15,1,1,Predator,10
BS_15,1,2,Predator,11
BS_15,1,3,Predator,0
BS_15,2,1,Foraging,14
BS_15,2,2,Foraging,12
BS_15,2,3,Foraging,0
BS_15,2,1,Novel,0
BS_15,2,2,Novel,0
BS_15,2,3,Novel,0
BS_15,2,1,Predator,47
BS_15,2,2,Predator,29
BS_15,2,3,Predator,16
BS_15,3,1,Foraging,5
BS_15,3,2,Foraging,2
BS_15,3,3,Foraging,0
BS_15,3,1,Novel,2
BS_15,3,2,Novel,0
BS_15,3,3,Novel,0
BS_15,3,1,Predator,24
BS_15,3,2,Predator,9
BS_15,3,3,Predator,4
BS_15,4,1,Foraging,0
BS_15,4,2,Foraging,0
BS_15,4,3,Foraging,0
BS_15,4,1,Novel,2
BS_15,4,2,Novel,13
BS_15,4,3,Novel,27
BS_15,4,1,Predator,32
BS_15,4,2,Predator,18
BS_15,4,3,Predator,23
BS_15,5,1,Foraging,0
BS_15,5,2,Foraging,0
BS_15,5,3,Foraging,0
BS_15,5,1,Novel,0
BS_15,5,2,Novel,0
BS_15,5,3,Novel,0
BS_15,5,1,Predator,0
BS_15,5,2,Predator,0
BS_15,5,3,Predator,0
BS_15,6,1,Foraging,0
BS_15,6,2,Foraging,10
BS_15,6,3,Foraging,7
BS_15,6,1,Novel,16
BS_15,6,2,Novel,23
BS_15,6,3,Novel,17
BS_15,6,1,Predator,13
BS_15,6,2,Predator,13
BS_15,6,3,Predator,17
BS_15,7,1,Foraging,0
BS_15,7,2,Foraging,0
BS_15,7,3,Foraging,0
BS_15,7,1,Novel,2
BS_15,7,2,Novel,0
BS_15,7,3,Novel,0
BS_15,7,1,Predator,0
BS_15,7,2,Predator,0
BS_15,7,3,Predator,0
BS_16,1,1,Foraging,0
BS_16,1,2,Foraging,0
BS_16,1,3,Foraging,0
BS_16,1,1,Novel,0
BS_16,1,2,Novel,0
BS_16,1,3,Novel,0
BS_16,1,1,Predator,24
BS_16,1,2,Predator,11
BS_16,1,3,Predator,0
BS_16,2,1,Foraging,5
BS_16,2,2,Foraging,33
BS_16,2,3,Foraging,2
BS_16,2,1,Novel,19
BS_16,2,2,Novel,21
BS_16,2,3,Novel,15
BS_16,2,1,Predator,21
BS_16,2,2,Predator,21
BS_16,2,3,Predator,0
BS_16,3,1,Foraging,29
BS_16,3,2,Foraging,17
BS_16,3,3,Foraging,2
BS_16,3,1,Novel,3
BS_16,3,2,Novel,7
BS_16,3,3,Novel,32
BS_16,3,1,Predator,32
BS_16,3,2,Predator,30
BS_16,3,3,Predator,16
BS_16,4,1,Foraging,0
BS_16,4,2,Foraging,0
BS_16,4,3,Foraging,0
BS_16,4,1,Novel,0
BS_16,4,2,Novel,0
BS_16,4,3,Novel,0
BS_16,4,1,Predator,1
BS_16,4,2,Predator,0
BS_16,4,3,Predator,0
BS_16,5,1,Foraging,0
BS_16,5,2,Foraging,0
BS_16,5,3,Foraging,0
BS_16,5,1,Novel,0
BS_16,5,2,Novel,0
BS_16,5,3,Novel,0
BS_16,5,1,Predator,5
BS_16,5,2,Predator,0
BS_16,5,3,Predator,4
BS_16,6,1,Foraging,5
BS_16,6,2,Foraging,0
BS_16,6,3,Foraging,1
BS_16,6,1,Novel,2
BS_16,6,2,Novel,1
BS_16,6,3,Novel,0
BS_16,6,1,Predator,0
BS_16,6,2,Predator,2
BS_16,6,3,Predator,2
BS_16,7,1,Foraging,2
BS_16,7,2,Foraging,11
BS_16,7,3,Foraging,0
BS_16,7,1,Novel,10
BS_16,7,2,Novel,13
BS_16,7,3,Novel,9
BS_16,7,1,Predator,4
BS_16,7,2,Predator,0
BS_16,7,3,Predator,0
BS_17,1,1,Foraging,12
BS_17,1,2,Foraging,8
BS_17,1,3,Foraging,16
BS_17,1,1,Novel,27
BS_17,1,2,Novel,5
BS_17,1,3,Novel,18
BS_17,1,1,Predator,12
BS_17,1,2,Predator,16
BS_17,1,3,Predator,15
BS_17,2,1,Foraging,24
BS_17,2,2,Foraging,26
BS_17,2,3,Foraging,25
BS_17,2,1,Novel,24
BS_17,2,2,Novel,0
BS_17,2,3,Novel,1
BS_17,2,1,Predator,0
BS_17,2,2,Predator,0
BS_17,2,3,Predator,0
BS_17,3,1,Foraging,35
BS_17,3,2,Foraging,35
BS_17,3,3,Foraging,28
BS_17,3,1,Novel,0
BS_17,3,2,Novel,12
BS_17,3,3,Novel,16
BS_17,3,1,Predator,23
BS_17,3,2,Predator,6
BS_17,3,3,Predator,0
BS_17,4,1,Foraging,29
BS_17,4,2,Foraging,16
BS_17,4,3,Foraging,20
BS_17,4,1,Novel,28
BS_17,4,2,Novel,0
BS_17,4,3,Novel,0
BS_17,4,1,Predator,26
BS_17,4,2,Predator,26
BS_17,4,3,Predator,0
BS_19,1,1,Foraging,4
BS_19,1,2,Foraging,4
BS_19,1,3,Foraging,1
BS_19,1,1,Novel,26
BS_19,1,2,Novel,0
BS_19,1,3,Novel,0
BS_19,1,1,Predator,32
BS_19,1,2,Predator,0
BS_19,1,3,Predator,16
BS_19,2,1,Foraging,11
BS_19,2,2,Foraging,3
BS_19,2,3,Foraging,1
BS_19,2,1,Novel,9
BS_19,2,2,Novel,8
BS_19,2,3,Novel,9
BS_19,2,1,Predator,0
BS_19,2,2,Predator,0
BS_19,2,3,Predator,0
BS_19,3,1,Foraging,3
BS_19,3,2,Foraging,0
BS_19,3,3,Foraging,0
BS_19,3,1,Novel,6
BS_19,3,2,Novel,1
BS_19,3,3,Novel,0
BS_19,3,1,Predator,0
BS_19,3,2,Predator,0
BS_19,3,3,Predator,0
BS_19,4,1,Foraging,0
BS_19,4,2,Foraging,0
BS_19,4,3,Foraging,0
BS_19,4,1,Novel,0
BS_19,4,2,Novel,0
BS_19,4,3,Novel,0
BS_19,4,1,Predator,0
BS_19,4,2,Predator,0
BS_19,4,3,Predator,0
BS_19,5,1,Foraging,9
BS_19,5,2,Foraging,7
BS_19,5,3,Foraging,3
BS_19,5,1,Novel,0
BS_19,5,2,Novel,7
BS_19,5,3,Novel,1
BS_19,5,1,Predator,3
BS_19,5,2,Predator,3
BS_19,5,3,Predator,0
BS_19,6,1,Foraging,0
BS_19,6,2,Foraging,0
BS_19,6,3,Foraging,0
BS_19,6,1,Novel,8
BS_19,6,2,Novel,4
BS_19,6,3,Novel,2
BS_19,6,1,Predator,2
BS_19,6,2,Predator,9
BS_19,6,3,Predator,7
BS_19,7,1,Foraging,13
BS_19,7,2,Foraging,0
BS_19,7,3,Foraging,1
BS_19,7,1,Novel,28
BS_19,7,2,Novel,0
BS_19,7,3,Novel,1
BS_19,7,1,Predator,0
BS_19,7,2,Predator,0
BS_19,7,3,Predator,0
BS_2,1,1,Foraging,16
BS_2,1,2,Foraging,16
BS_2,1,3,Foraging,21
BS_2,1,1,Novel,1
BS_2,1,2,Novel,13
BS_2,1,3,Novel,9
BS_2,1,1,Predator,29
BS_2,1,2,Predator,20
BS_2,1,3,Predator,17
BS_2,2,1,Foraging,29
BS_2,2,2,Foraging,16
BS_2,2,3,Foraging,29
BS_2,2,1,Novel,23
BS_2,2,2,Novel,2
BS_2,2,3,Novel,30
BS_2,2,1,Predator,1
BS_2,2,2,Predator,7
BS_2,2,3,Predator,21
BS_2,3,1,Foraging,0
BS_2,3,2,Foraging,0
BS_2,3,3,Foraging,0
BS_2,3,1,Novel,5
BS_2,3,2,Novel,9
BS_2,3,3,Novel,0
BS_2,3,1,Predator,1
BS_2,3,2,Predator,1
BS_2,3,3,Predator,0
BS_2,4,1,Foraging,9
BS_2,4,2,Foraging,0
BS_2,4,3,Foraging,0
BS_2,4,1,Novel,0
BS_2,4,2,Novel,0
BS_2,4,3,Novel,0
BS_2,4,1,Predator,0
BS_2,4,2,Predator,0
BS_2,4,3,Predator,0
BS_2,5,1,Foraging,0
BS_2,5,2,Foraging,0
BS_2,5,3,Foraging,0
BS_2,5,1,Novel,5
BS_2,5,2,Novel,0
BS_2,5,3,Novel,0
BS_2,5,1,Predator,0
BS_2,5,2,Predator,0
BS_2,5,3,Predator,1
BS_2,6,1,Foraging,10
BS_2,6,2,Foraging,13
BS_2,6,3,Foraging,7
BS_2,6,1,Novel,23
BS_2,6,2,Novel,4
BS_2,6,3,Novel,21
BS_2,6,1,Predator,31
BS_2,6,2,Predator,13
BS_2,6,3,Predator,1
BS_2,7,1,Foraging,1
BS_2,7,2,Foraging,0
BS_2,7,3,Foraging,0
BS_2,7,1,Novel,4
BS_2,7,2,Novel,0
BS_2,7,3,Novel,0
BS_2,7,1,Predator,3
BS_2,7,2,Predator,0
BS_2,7,3,Predator,0
BS_21,1,1,Foraging,0
BS_21,1,2,Foraging,0
BS_21,1,3,Foraging,0
BS_21,1,1,Novel,20
BS_21,1,2,Novel,0
BS_21,1,3,Novel,7
BS_21,1,1,Predator,24
BS_21,1,2,Predator,12
BS_21,1,3,Predator,11
BS_21,2,1,Foraging,0
BS_21,2,2,Foraging,12
BS_21,2,3,Foraging,14
BS_21,2,1,Novel,0
BS_21,2,2,Novel,0
BS_21,2,3,Novel,0
BS_21,2,1,Predator,15
BS_21,2,2,Predator,27
BS_21,2,3,Predator,4
BS_21,3,1,Foraging,0
BS_21,3,2,Foraging,0
BS_21,3,3,Foraging,0
BS_21,3,1,Novel,17
BS_21,3,2,Novel,12
BS_21,3,3,Novel,24
BS_21,3,1,Predator,10
BS_21,3,2,Predator,1
BS_21,3,3,Predator,0
BS_21,4,1,Foraging,8
BS_21,4,2,Foraging,4
BS_21,4,3,Foraging,15
BS_21,4,1,Novel,0
BS_21,4,2,Novel,0
BS_21,4,3,Novel,1
BS_21,4,1,Predator,1
BS_21,4,2,Predator,22
BS_21,4,3,Predator,28
BS_21,5,1,Foraging,0
BS_21,5,2,Foraging,0
