Indiv.ID,Activity,Assay,Personality.Assign
050718_1,122,1.Foraging,NA
050718_1,106,2.NovelObj,NA
050718_1,88,3.PredationRisk,NA
050718_10,72,1.Foraging,NA
050718_10,54,2.NovelObj,NA
050718_10,41,3.PredationRisk,NA
050718_100,0,1.Foraging,Shy
050718_100,0,2.NovelObj,Shy
050718_100,0,3.PredationRisk,Shy
050718_101,0,1.Foraging,NA
050718_101,13,2.NovelObj,NA
050718_101,16,3.PredationRisk,NA
050718_102,0,1.Foraging,Shy
050718_102,1,2.NovelObj,Shy
050718_102,0,3.PredationRisk,Shy
050718_103,7,1.Foraging,NA
050718_103,6,2.NovelObj,NA
050718_103,59,3.PredationRisk,NA
050718_104,1.4,1.Foraging,NA
050718_104,10,2.NovelObj,NA
050718_104,18,3.PredationRisk,NA
050718_105,9.5,1.Foraging,NA
050718_105,9,2.NovelObj,NA
050718_105,36,3.PredationRisk,NA
050718_106,0,1.Foraging,Shy
050718_106,0,2.NovelObj,Shy
050718_106,1,3.PredationRisk,Shy
050718_107,2,1.Foraging,NA
050718_107,14,2.NovelObj,NA
050718_107,23,3.PredationRisk,NA
050718_108,43,1.Foraging,Bold
050718_108,36,2.NovelObj,Bold
050718_108,45,3.PredationRisk,Bold
050718_109,29.2,1.Foraging,Bold
050718_109,42,2.NovelObj,Bold
050718_109,30,3.PredationRisk,Bold
050718_11,4,1.Foraging,NA
050718_11,8,2.NovelObj,NA
050718_11,21,3.PredationRisk,NA
050718_110,1,1.Foraging,Shy
050718_110,0,2.NovelObj,Shy
050718_110,1,3.PredationRisk,Shy
050718_111,18,1.Foraging,NA
050718_111,42,2.NovelObj,NA
050718_111,17,3.PredationRisk,NA
050718_112,28.4,1.Foraging,NA
050718_112,9,2.NovelObj,NA
050718_112,2,3.PredationRisk,NA
050718_114,1,1.Foraging,NA
050718_114,0,2.NovelObj,NA
050718_114,0,3.PredationRisk,NA
050718_115,2,1.Foraging,NA
050718_115,12,2.NovelObj,NA
050718_115,20,3.PredationRisk,NA
050718_12,130,1.Foraging,NA
050718_12,84,2.NovelObj,NA
050718_12,119,3.PredationRisk,NA
050718_120,75,1.Foraging,Bold
050718_120,77,2.NovelObj,Bold
050718_120,48,3.PredationRisk,Bold
050718_14,2,1.Foraging,Shy
050718_14,0,2.NovelObj,Shy
050718_14,6,3.PredationRisk,Shy
050718_15,16,1.Foraging,NA
050718_15,1,2.NovelObj,NA
050718_15,6,3.PredationRisk,NA
050718_16,0,1.Foraging,NA
050718_16,2,2.NovelObj,NA
050718_16,0,3.PredationRisk,NA
050718_17,4,1.Foraging,NA
050718_17,0,2.NovelObj,NA
050718_17,19,3.PredationRisk,NA
050718_18,11.6,1.Foraging,NA
050718_18,1,2.NovelObj,NA
050718_18,24,3.PredationRisk,NA
050718_19,12,1.Foraging,NA
050718_19,0,2.NovelObj,NA
050718_19,52,3.PredationRisk,NA
050718_2,64,1.Foraging,NA
050718_2,9,2.NovelObj,NA
050718_2,15,3.PredationRisk,NA
050718_20,47.6,1.Foraging,NA
050718_20,0,2.NovelObj,NA
050718_20,46,3.PredationRisk,NA
050718_21,7.4,1.Foraging,NA
050718_21,4,2.NovelObj,NA
050718_21,13,3.PredationRisk,NA
050718_22,1,1.Foraging,NA
050718_22,28,2.NovelObj,NA
050718_22,8,3.PredationRisk,NA
050718_23,57,1.Foraging,NA
050718_23,64,2.NovelObj,NA
050718_23,0,3.PredationRisk,NA
050718_24,0,1.Foraging,Shy
050718_24,12,2.NovelObj,Shy
050718_24,6,3.PredationRisk,Shy
050718_25,32.8,1.Foraging,Bold
050718_25,17,2.NovelObj,Bold
050718_25,32,3.PredationRisk,Bold
050718_26,29.4,1.Foraging,NA
050718_26,12,2.NovelObj,NA
050718_26,7,3.PredationRisk,NA
050718_28,58,1.Foraging,Bold
050718_28,61,2.NovelObj,Bold
050718_28,68,3.PredationRisk,Bold
050718_29,57,1.Foraging,Bold
050718_29,54,2.NovelObj,Bold
050718_29,26,3.PredationRisk,Bold
050718_3,69,1.Foraging,Bold
050718_3,58,2.NovelObj,Bold
050718_3,95,3.PredationRisk,Bold
050718_30,17.2,1.Foraging,NA
050718_30,2,2.NovelObj,NA
050718_30,6,3.PredationRisk,NA
050718_32,22,1.Foraging,Bold
050718_32,36,2.NovelObj,Bold
050718_32,42,3.PredationRisk,Bold
050718_34,28.5,1.Foraging,Shy
050718_34,1,2.NovelObj,Shy
050718_34,0,3.PredationRisk,Shy
050718_35,2,1.Foraging,Shy
050718_35,1,2.NovelObj,Shy
050718_35,13,3.PredationRisk,Shy
050718_36,0,1.Foraging,NA
050718_36,0,2.NovelObj,NA
050718_36,0,3.PredationRisk,NA
050718_37,3.8,1.Foraging,Shy
050718_37,0,2.NovelObj,Shy
050718_37,1,3.PredationRisk,Shy
050718_38,2,1.Foraging,NA
050718_38,14,2.NovelObj,NA
050718_38,14,3.PredationRisk,NA
050718_39,30,1.Foraging,Bold
050718_39,46,2.NovelObj,Bold
050718_39,69,3.PredationRisk,Bold
050718_4,61,1.Foraging,NA
050718_4,3,2.NovelObj,NA
050718_4,77,3.PredationRisk,NA
050718_40,4,1.Foraging,Shy
050718_40,0,2.NovelObj,Shy
050718_40,0,3.PredationRisk,Shy
050718_41,4,1.Foraging,Shy
050718_41,18,2.NovelObj,Shy
050718_41,1,3.PredationRisk,Shy
050718_42,26,1.Foraging,NA
050718_42,14,2.NovelObj,NA
050718_42,0,3.PredationRisk,NA
050718_43,1,1.Foraging,Shy
050718_43,2,2.NovelObj,Shy
050718_43,1,3.PredationRisk,Shy
050718_44,24,1.Foraging,Bold
050718_44,62,2.NovelObj,Bold
050718_44,75,3.PredationRisk,Bold
050718_46,0,1.Foraging,NA
050718_46,47,2.NovelObj,NA
050718_46,3,3.PredationRisk,NA
050718_48,19,1.Foraging,NA
050718_48,8,2.NovelObj,NA
050718_48,19,3.PredationRisk,NA
050718_5,22.7,1.Foraging,NA
050718_5,7,2.NovelObj,NA
050718_5,2,3.PredationRisk,NA
050718_50,1,1.Foraging,Shy
050718_50,0,2.NovelObj,Shy
050718_50,0,3.PredationRisk,Shy
050718_51,0.8,1.Foraging,NA
050718_51,42,2.NovelObj,NA
050718_51,55,3.PredationRisk,NA
050718_52,19,1.Foraging,Bold
050718_52,68,2.NovelObj,Bold
050718_52,78,3.PredationRisk,Bold
050718_54,25.5,1.Foraging,Shy
050718_54,0,2.NovelObj,Shy
050718_54,0,3.PredationRisk,Shy
050718_55,0,1.Foraging,NA
050718_55,84,2.NovelObj,NA
050718_55,15,3.PredationRisk,NA
050718_56,0,1.Foraging,Shy
050718_56,0,2.NovelObj,Shy
050718_56,0,3.PredationRisk,Shy
050718_57,0,1.Foraging,NA
050718_57,0,2.NovelObj,NA
050718_57,0,3.PredationRisk,NA
050718_58,51,1.Foraging,NA
050718_58,9,2.NovelObj,NA
050718_58,0,3.PredationRisk,NA
050718_59,23,1.Foraging,Bold
050718_59,94,2.NovelObj,Bold
050718_59,89,3.PredationRisk,Bold
050718_6,6,1.Foraging,NA
050718_6,8,2.NovelObj,NA
050718_6,30,3.PredationRisk,NA
050718_60,13,1.Foraging,Bold
050718_60,37,2.NovelObj,Bold
050718_60,82,3.PredationRisk,Bold
050718_61,1,1.Foraging,NA
050718_61,68,2.NovelObj,NA
050718_61,8,3.PredationRisk,NA
050718_62,4,1.Foraging,NA
050718_62,23,2.NovelObj,NA
050718_62,0,3.PredationRisk,NA
050718_63,61.5,1.Foraging,Bold
050718_63,71,2.NovelObj,Bold
050718_63,25,3.PredationRisk,Bold
050718_69,1,1.Foraging,Bold
050718_69,39,2.NovelObj,Bold
050718_69,44,3.PredationRisk,Bold
050718_71,3.2,1.Foraging,NA
050718_71,6,2.NovelObj,NA
050718_71,17,3.PredationRisk,NA
050718_72,2,1.Foraging,Shy
050718_72,0,2.NovelObj,Shy
050718_72,0,3.PredationRisk,Shy
050718_73,35,1.Foraging,NA
050718_73,12,2.NovelObj,NA
050718_73,24,3.PredationRisk,NA
050718_75,69,1.Foraging,Bold
050718_75,30,2.NovelObj,Bold
050718_75,0,3.PredationRisk,Bold
050718_77,0,1.Foraging,Shy
050718_77,1,2.NovelObj,Shy
050718_77,0,3.PredationRisk,Shy
050718_78,97,1.Foraging,Bold
050718_78,14,2.NovelObj,Bold
050718_78,58,3.PredationRisk,Bold
050718_79,0,1.Foraging,Shy
050718_79,14,2.NovelObj,Shy
050718_79,0,3.PredationRisk,Shy
050718_8,38.7,1.Foraging,Bold
050718_8,64,2.NovelObj,Bold
050718_8,0,3.PredationRisk,Bold
050718_84,2,1.Foraging,Shy
050718_84,1,2.NovelObj,Shy
050718_84,0,3.PredationRisk,Shy
050718_85,21,1.Foraging,NA
050718_85,6,2.NovelObj,NA
050718_85,1,3.PredationRisk,NA
050718_86,17.4,1.Foraging,NA
050718_86,10,2.NovelObj,NA
050718_86,16,3.PredationRisk,NA
050718_87,0,1.Foraging,Shy
050718_87,0,2.NovelObj,Shy
050718_87,0,3.PredationRisk,Shy
050718_88,0,1.Foraging,NA
050718_88,1,2.NovelObj,NA
050718_88,41,3.PredationRisk,NA
050718_9,83,1.Foraging,Bold
050718_9,65,2.NovelObj,Bold
050718_9,56,3.PredationRisk,Bold
050718_90,4,1.Foraging,Shy
050718_90,0,2.NovelObj,Shy
050718_90,1,3.PredationRisk,Shy
050718_91,19,1.Foraging,Bold
050718_91,49,2.NovelObj,Bold
050718_91,38,3.PredationRisk,Bold
050718_92,35.56,1.Foraging,NA
050718_92,3,2.NovelObj,NA
050718_92,3,3.PredationRisk,NA
050718_93,0,1.Foraging,NA
050718_93,19,2.NovelObj,NA
050718_93,0,3.PredationRisk,NA
050718_94,0,1.Foraging,NA
050718_94,0,2.NovelObj,NA
050718_94,0,3.PredationRisk,NA
050718_98,0,1.Foraging,NA
050718_98,0,2.NovelObj,NA
050718_98,0,3.PredationRisk,NA
050718_99,0,1.Foraging,Shy
050718_99,0,2.NovelObj,Shy
050718_99,0,3.PredationRisk,Shy
060718_121,47,1.Foraging,Bold
060718_121,53,2.NovelObj,Bold
060718_121,7,3.PredationRisk,Bold
060718_122,57,1.Foraging,Bold
060718_122,79,2.NovelObj,Bold
060718_122,58,3.PredationRisk,Bold
060718_123,19,1.Foraging,Bold
060718_123,27,2.NovelObj,Bold
060718_123,35,3.PredationRisk,Bold
060718_124,15.9,1.Foraging,Bold
060718_124,82,2.NovelObj,Bold
060718_124,13,3.PredationRisk,Bold
060718_125,0,1.Foraging,Shy
060718_125,0,2.NovelObj,Shy
060718_125,0,3.PredationRisk,Shy
060718_127,0,1.Foraging,Shy
060718_127,7,2.NovelObj,Shy
060718_127,0,3.PredationRisk,Shy
060718_128,7,1.Foraging,Shy
060718_128,4,2.NovelObj,Shy
060718_128,1,3.PredationRisk,Shy
060718_129,61,1.Foraging,Bold
060718_129,93,2.NovelObj,Bold
060718_129,98,3.PredationRisk,Bold
060718_13,30.1,1.Foraging,NA
060718_13,1,2.NovelObj,NA
060718_13,22,3.PredationRisk,NA
060718_131,0,1.Foraging,Shy
060718_131,0,2.NovelObj,Shy
060718_131,0,3.PredationRisk,
060718_132,60,1.Foraging,Bold
060718_132,56,2.NovelObj,Bold
060718_132,39,3.PredationRisk,Bold
060718_133,3,1.Foraging,Shy
060718_133,0,2.NovelObj,Shy
060718_133,2,3.PredationRisk,Shy
060718_134,29,1.Foraging,Bold
060718_134,84,2.NovelObj,Bold
060718_134,123,3.PredationRisk,Bold
060718_135,29,1.Foraging,Bold
060718_135,28,2.NovelObj,Bold
060718_135,96,3.PredationRisk,Bold
060718_136,90,1.Foraging,Bold
060718_136,33,2.NovelObj,Bold
060718_136,2,3.PredationRisk,Bold
060718_137,2,1.Foraging,Shy
060718_137,4,2.NovelObj,Shy
060718_137,0,3.PredationRisk,Shy
060718_139,40.2,1.Foraging,Plastic
060718_139,0,2.NovelObj,Plastic
060718_139,38,3.PredationRisk,Plastic
060718_140,76,1.Foraging,Bold
060718_140,28,2.NovelObj,Bold
060718_140,93,3.PredationRisk,Bold
060718_27,1,3.PredationRisk,Shy
060718_27,0,1.Foraging,Shy
060718_27,0,2.NovelObj,Shy
060718_27,0,3.PredationRisk,Shy
060718_31,4.65,1.Foraging,Shy
060718_31,8,2.NovelObj,Shy
060718_31,0,3.PredationRisk,Shy
060718_33,0,1.Foraging,NA
060718_33,0,2.NovelObj,NA
060718_33,0,3.PredationRisk,NA
060718_47,21.55,1.Foraging,NA
060718_47,40,2.NovelObj,NA
060718_47,27,3.PredationRisk,NA
060718_7,7.61,1.Foraging,Shy
060718_7,0,2.NovelObj,Shy
060718_7,2,3.PredationRisk,Shy
080718_113,3,1.Foraging,Shy
080718_113,9,2.NovelObj,Shy
080718_113,0,3.PredationRisk,Shy
080718_116,106,1.Foraging,Bold
080718_116,59,2.NovelObj,Bold
080718_116,58,3.PredationRisk,Bold
080718_117,79,1.Foraging,Bold
080718_117,25,2.NovelObj,Bold
080718_117,73,3.PredationRisk,Bold
080718_118,74,1.Foraging,Bold
080718_118,80,2.NovelObj,Bold
080718_118,60,3.PredationRisk,Bold
080718_119,31,1.Foraging,Continuous
080718_119,52,2.NovelObj,Continuous
080718_119,70,3.PredationRisk,Continuous
080718_126,0,1.Foraging,Shy
080718_126,0,2.NovelObj,Shy
080718_126,15.2,3.PredationRisk,Shy
080718_130,50,1.Foraging,Plastic
080718_130,28,2.NovelObj,Plastic
080718_130,41,3.PredationRisk,Plastic
080718_142,15,1.Foraging,Shy
080718_142,60,2.NovelObj,Shy
080718_142,0,3.PredationRisk,Shy
080718_143,38,1.Foraging,Shy
080718_143,16.6,2.NovelObj,Shy
080718_143,0,3.PredationRisk,Shy
080718_144,0,1.Foraging,Shy
080718_144,11.4,2.NovelObj,Shy
080718_144,0,3.PredationRisk,Shy
080718_145,1,1.Foraging,Shy
080718_145,1,2.NovelObj,Shy
080718_145,4,3.PredationRisk,Shy
080718_146,104,1.Foraging,Bold
080718_146,116,2.NovelObj,Bold
080718_146,81,3.PredationRisk,Bold
080718_147,0,1.Foraging,Shy
080718_147,9.5,2.NovelObj,Shy
080718_147,0,3.PredationRisk,Shy
080718_148,89,1.Foraging,Bold
080718_148,73,2.NovelObj,Bold
080718_148,103,3.PredationRisk,Bold
080718_149,24,1.Foraging,Continuous
080718_149,48,2.NovelObj,Continuous
080718_149,9,3.PredationRisk,Continuous
080718_150,10,1.Foraging,NA
080718_150,6,2.NovelObj,NA
080718_150,5,3.PredationRisk,NA
080718_151,25,1.Foraging,Shy
080718_151,28,2.NovelObj,Shy
080718_151,0,3.PredationRisk,Shy
080718_36,73,1.Foraging,Bold
080718_36,119,2.NovelObj,Bold
080718_36,93,3.PredationRisk,Bold
080718_45,89,1.Foraging,Bold
080718_45,60,2.NovelObj,Bold
080718_45,74,3.PredationRisk,Bold
080718_49,93,1.Foraging,Bold
080718_49,92,2.NovelObj,Bold
080718_49,23,3.PredationRisk,Bold
080718_53,44,1.Foraging,Continuous
080718_53,63,2.NovelObj,Continuous
080718_53,30,3.PredationRisk,Continuous
080718_64,37,1.Foraging,Continuous
080718_64,61.4,2.NovelObj,Continuous
080718_64,2,3.PredationRisk,Continuous
080718_65,49,1.Foraging,Continuous
080718_65,37,2.NovelObj,Continuous
080718_65,49,3.PredationRisk,Continuous
080718_66,4,1.Foraging,Continuous
080718_66,79,2.NovelObj,Continuous
080718_66,16,3.PredationRisk,Continuous
080718_67,95,1.Foraging,NA
080718_67,67,2.NovelObj,NA
080718_67,109,3.PredationRisk,NA
080718_68,68,1.Foraging,Bold
080718_68,70,2.NovelObj,Bold
080718_68,59,3.PredationRisk,Bold
080718_70,67,1.Foraging,Continuous
080718_70,12,2.NovelObj,Continuous
080718_70,38,3.PredationRisk,Continuous
080718_74,45,1.Foraging,Continuous
080718_74,34.3,2.NovelObj,Continuous
080718_74,26,3.PredationRisk,Continuous
080718_76,2,1.Foraging,Shy
080718_76,1,2.NovelObj,Shy
080718_76,37,3.PredationRisk,Shy
080718_80,0,1.Foraging,NA
080718_80,13,2.NovelObj,NA
080718_80,18,3.PredationRisk,NA
080718_82,121,1.Foraging,NA
080718_82,78,2.NovelObj,NA
080718_82,80,3.PredationRisk,NA
080718_83,12.7,1.Foraging,Shy
080718_83,0,2.NovelObj,Shy
080718_83,0,3.PredationRisk,Shy
080718_95,57,1.Foraging,Continuous
080718_95,11.4,2.NovelObj,Continuous
080718_95,31.8,3.PredationRisk,Continuous
080718_96,2,1.Foraging,NA
080718_96,3,2.NovelObj,NA
080718_96,53.81,3.PredationRisk,NA
080718_97,81,1.Foraging,Bold
080718_97,96,2.NovelObj,Bold
080718_97,0,3.PredationRisk,Bold
090718_10,0,1.Foraging,Shy
090718_10,26,2.NovelObj,Shy
090718_10,0,3.PredationRisk,Shy
090718_100,79,1.Foraging,Bold
090718_100,9,2.NovelObj,Bold
090718_100,103,3.PredationRisk,Bold
090718_101,113,1.Foraging,Bold
090718_101,27,2.NovelObj,Bold
090718_101,87,3.PredationRisk,Bold
090718_102,103,1.Foraging,Bold
090718_102,50,2.NovelObj,Bold
090718_102,18,3.PredationRisk,Bold
090718_103,57,1.Foraging,Plastic
090718_103,50,2.NovelObj,Plastic
090718_103,0,3.PredationRisk,Plastic
090718_104,36,1.Foraging,Bold
090718_104,6,2.NovelObj,Bold
090718_104,56,3.PredationRisk,Bold
090718_105,77,1.Foraging,Continuous
090718_105,0,2.NovelObj,Continuous
090718_105,13,3.PredationRisk,Continuous
090718_106,97,1.Foraging,Bold
090718_106,77,2.NovelObj,Bold
090718_106,0,3.PredationRisk,Bold
090718_107,59,1.Foraging,Bold
090718_107,14,2.NovelObj,Bold
090718_107,92,3.PredationRisk,Bold
090718_108,35,1.Foraging,Continuous
090718_108,48.2,2.NovelObj,Continuous
090718_108,0,3.PredationRisk,Continuous
090718_109,136,1.Foraging,Bold
090718_109,98,2.NovelObj,Bold
090718_109,94,3.PredationRisk,Bold
090718_11,71,1.Foraging,Bold
090718_11,94,2.NovelObj,Bold
090718_11,16,3.PredationRisk,Bold
090718_111,0,1.Foraging,Shy
090718_111,0,2.NovelObj,Shy
090718_111,0,3.PredationRisk,Shy
090718_112,40,1.Foraging,Continuous
090718_112,3,2.NovelObj,Continuous
090718_112,74,3.PredationRisk,Continuous
090718_114,0,1.Foraging,Shy
090718_114,23,2.NovelObj,Shy
090718_114,49,3.PredationRisk,Shy
090718_115,57,1.Foraging,Continuous
090718_115,57,2.NovelObj,Continuous
090718_115,14,3.PredationRisk,Continuous
090718_12,70,1.Foraging,Plastic
090718_12,42,2.NovelObj,Plastic
090718_12,1,3.PredationRisk,Plastic
090718_120,74,1.Foraging,
090718_120,47,2.NovelObj,Continuous
090718_120,43,3.PredationRisk,Continuous
090718_121,64,1.Foraging,Continuous
090718_121,19,2.NovelObj,Continuous
090718_121,4,3.PredationRisk,Continuous
090718_122,61,1.Foraging,Plastic
090718_122,46.2,2.NovelObj,Plastic
090718_122,0,3.PredationRisk,Plastic
090718_123,0,1.Foraging,NA
090718_123,14,2.NovelObj,NA
090718_123,0,3.PredationRisk,NA
090718_124,122,1.Foraging,Bold
090718_124,71,2.NovelObj,Bold
090718_124,17,3.PredationRisk,Bold
090718_125,87,1.Foraging,Bold
090718_125,70,2.NovelObj,Bold
090718_125,87,3.PredationRisk,Bold
090718_126,2,1.Foraging,Shy
090718_126,19,2.NovelObj,Shy
090718_126,0,3.PredationRisk,Shy
090718_127,23,1.Foraging,Shy
090718_127,17,2.NovelObj,Shy
090718_127,28.2,3.PredationRisk,Shy
090718_129,104,1.Foraging,NA
090718_129,134,2.NovelObj,NA
090718_129,17,3.PredationRisk,NA
